---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les Mots grammaticaux (nombres, prépositions, pronoms, conjonctions et déterminants)
813 lemmes et 1 326 formes fléchies de catégorie Mots grammaticaux (nombres, prépositions, pronoms, conjonctions et déterminants) (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
;;;;;;;;;en perte d';1042704;-;-;-;-;-;;lefff
en plein;171321;Préposition;;;-;;;lefff;en plein;1042706;-;-;-;-;-;;lefff
en plein centre de;171322;Préposition;;;-;;;lefff;en plein centre de;1042707;-;-;-;-;-;;lefff
;;;;;;;;;en plein centre d';1042708;-;-;-;-;-;;lefff
en plein dans;171323;Préposition;;;-;;;lefff;en plein dans;1042709;-;-;-;-;-;;lefff
en plein sur;171324;Préposition;;;-;;;lefff;en plein sur;1042710;-;-;-;-;-;;lefff
en plus de;171326;Préposition;;;-;;;lefff;en plus de;1042712;-;-;-;-;-;;lefff
;;;;;;;;;en plus d';1042713;-;-;-;-;-;;lefff
en proie à;171329;Préposition;;;-;;;lefff;en proie à;1042716;-;-;-;-;-;;lefff
en quête de;171332;Préposition;;;-;;;lefff;en quête de;1042719;-;-;-;-;-;;lefff
;;;;;;;;;en quête d';1042720;-;-;-;-;-;;lefff
en raison de;171333;Préposition;;;-;;;lefff;en raison de;1042721;-;-;-;-;-;;lefff
;;;;;;;;;en raison d';1042722;-;-;-;-;-;;lefff
en regard de;171334;Préposition;;;-;;;lefff;en regard de;1042723;-;-;-;-;-;;lefff
;;;;;;;;;en regard d';1042724;-;-;-;-;-;;lefff
en relation avec;171335;Préposition;;;-;;;lefff;en relation avec;1042725;-;-;-;-;-;;lefff
en règlement de;171339;Préposition;;;-;;;lefff;en règlement de;1042729;-;-;-;-;-;;lefff
;;;;;;;;;en règlement d';1042730;-;-;-;-;-;;lefff
en signe de;171340;Préposition;;;-;;;lefff;en signe de;1042731;-;-;-;-;-;;lefff
;;;;;;;;;en signe d';1042732;-;-;-;-;-;;lefff
en tant que;171346;Préposition;;;-;;;lefff;en tant que;1042740;-;-;-;-;-;;lefff
;;;;;;;;;en tant qu';1042741;-;-;-;-;-;;lefff
en terme de;171347;Préposition;;;-;;;lefff;en terme de;1042742;-;-;-;-;-;;lefff
;;;;;;;;;en terme d';1042743;-;-;-;-;-;;lefff
en termes de;171348;Préposition;;;-;;;lefff;en termes de;1042744;-;-;-;-;-;;lefff
;;;;;;;;;en termes d';1042745;-;-;-;-;-;;lefff
en train de;171352;Préposition;;;-;;;lefff;en train de;1042749;-;-;-;-;-;;lefff
;;;;;;;;;en train d';1042750;-;-;-;-;-;;lefff
en vertu de;171355;Préposition;;;-;;;lefff;en vertu de;1042753;-;-;-;-;-;;lefff
;;;;;;;;;en vertu d';1042754;-;-;-;-;-;;lefff
en voie de;171357;Préposition;;;-;;;lefff;en voie de;1042756;-;-;-;-;-;;lefff
;;;;;;;;;en voie d';1042757;-;-;-;-;-;;lefff
