---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les Interjection
422 lemmes et 422 formes fléchies de catégorie Interjection (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
pscht;50220;Interjection;;;-;;p S t;morphalou2;pscht;382969;-;-;-;-;-;p S t;morphalou2
pschtt;50221;Interjection;;;-;"variante du lemme #50220 ""pscht""";p S t;morphalou2;pschtt;382972;-;-;-;-;-;p S t;morphalou2
pschut;50222;Interjection;;;-;;p S y t;morphalou2;pschut;382973;-;-;-;-;-;p S y;morphalou2
pschutt;50223;Interjection;;;-;"variante du lemme #50222 ""pschut""";p S y t;morphalou2;pschutt;382976;-;-;-;-;-;p S y t;morphalou2
psit;50232;Interjection;;;-;;p s t;morphalou2;psit;382997;-;-;-;-;-;p s t;morphalou2
psst;50244;Interjection;;;-;;p s s t;morphalou2;psst;383023;-;-;-;-;-;p s s t;morphalou2
péchère;50738;Interjection;;;-;"variante du lemme #46197 ""pechère""";p e S E R @ OU p E/ S E R @ ;morphalou2;péchère;385721;-;-;-;-;-;p e S E R @ OU p E/ S E R @ ;morphalou2
raca;51499;Interjection;;;-;;R a k a;morphalou2 dela;raca;390263;-;-;-;-;-;R a k a;morphalou2 dela
ran;51933;Interjection;onomatopée;;-;;R a~;morphalou2;ran;394247;-;-;-;-;-;R a~;morphalou2
rataplan;52117;Interjection;onomatopée;;-;;R a t a p l a~;morphalou2 dela dicollecte;rataplan;396351;-;-;-;-;-;R a t a p l a~;morphalou2 dela dicollecte
rebelote;52269;Interjection;;;-;;R @ b @ l O t @;morphalou2 dicollecte;rebelote;398180;-;-;-;-;-;R @ b @ l O t @;morphalou2 dicollecte
sacrebleu;55554;Interjection;;;-;;s a k R @ b l 2;morphalou2 dela dicollecte;sacrebleu;438219;-;-;-;-;-;s a k R @ b l 2;morphalou2 dela dicollecte
